id,name,type,sex,music_label,role,Geburtsdatum,Entry,Geburtsort,Status
TWO,112,3,2,2,0,0,1996,0,0
ATL,Above the Law,1,2,1,0,0,1996,0,0
BAZ,Bad Azz,1,2,1,1,1975,1995,CA,3
BB,Bad Boy Records,2,0,2,0,1933,0,0,0
BD,Bust Stop,1,2,1,1,0,1994,CA,3
BIG,Nutorious B.I.G,1,2,2,1,1972,1993,NY,1
BPD,Big Pimpin Delemond,1,2,1,1,0,0,0,0
BR,Black Rob,1,2,2,1,1968,1996,NY,1
BU,Bugsy,1,2,0,1,0,0,0,0
CB,Carlos Broady,1,2,2,2,1972,1996,TN,0
CDV,Chico Del Vec,1,2,0,1,0,0,NCY,0
CH,Chopmaster,1,2,0,1,0,0,0,0
CHT,Chucky Thompson,1,2,2,2,1968,1989,WA,0
CL,Crooked I,1,2,1,1,1978,1999,CA,3
CM,Craig Mack,1,2,2,1,1970,1994,NJ,1
COLD,Cold 187um,1,2,1,1,1969,1994,CA,1
CP,Capone,1,2,0,1,0,0,0,0
CPO,CPO,1,2,1,1,1973,1992,CA,0
CT,Carl Thomas,1,2,2,1,1972,1997,Illinois,3
DA,Deric Angelettie,1,2,2,2,1968,1993,NY,0
DAZ,Daz Dillinger,1,2,1,3,1973,1992,CA,3
DBOY,Danny Boy,1,2,1,1,1977,1994,Ill,4
DD,Dr. Dre,1,2,1,3,1965,1991,CA,3
DEP,G. Dep,1,2,2,1,1974,1998,NY,3
DF,DJ Fuze,1,2,0,3,1970,0,0,0
DG,Dick Griffey,1,2,1,1,1938,na,TN,1
DiUn,Digital Underground,3,0,0,0,1987,0,Oakland,0
DJQ,DJ Quick,1,2,1,3,1970,1992,CA,3
DJ,Daron Jones,1,2,2,1,1976,1996,GA,3
DR,Death Row Records,2,0,1,0,1991,0,0,0
EDI,E.D.I.,1,2,1,1,1974,1995,NJ,3
EMB,Easy Mo Bee,1,2,2,2,1965,1993,NY,0
EW,Eastwood,1,2,1,1,1980,1999,CA,3
FE,Faith Evans ,1,1,2,1,1973,1995,FL,3
FS,Flip Side,1,2,1,1,na,1994,CA,1
GO,Go Mack,1,2,1,1,1971,1994,CA,3
GP,GP The Beast,1,2,1,1,1981,1997,CA,3
HUS,Hussein Fatal,1,2,1,1,1973,1995,NJ,1
JF,J-Flexx,1,2,1,1,1975,1993,CA,3
JK,Jadakiss,1,2,2,1,1975,1997,NY,3
JuMa,Junior M.A.F.I.A,3,0,0,0,1994,0,NYC,0
JW,Jewell,1,1,1,1,1968,1992,Ill,3
KAS,Kastro,1,2,1,1,1975,1995,CA,3
KDG,K-Dog,1,2,1,1,na,1995,na,3
KMG,KMG the Illustrator,1,2,1,1,1970,1994,CA,1
KOS,DJ Total K-Oss,1,2,1,2,1970,1994,CA,3
KPT,Kurupt,1,2,1,1,1972,1993,PEN,3
KR,Kima Raynor,1,1,2,1,0,1994,NJ,3
